names,descriptions,classified_products
"Women's Primaloft Performance Socks, Crew Cut.","From their all-terrain outsole to their waterproof leather upper, these sleek cork sandals are built for comfort from the ground up.","['Clothing', 'Socks', ""Women's Apparel""]"
Ultralight Colorblock Down Jacket,"Our revolutionary 850 down sweater defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell – for unbeatable performance. Light activity: to 30°  Moderate activity: to -20°.","['Clothing', 'Outerwear', 'Jackets']"
AquaGuard Compression Dry Sack,"Compress bulky gear like warm layers or a sleeping bag down as small as it can get in this completely waterproof stuff sack—great for hikes and river trips.","['Outdoor Gear', 'Camping Equipment', 'Storage Solutions']"
Superga 2795 Canvas High-Top Street Shoes,"""Incredibly comfortable and stylish, Superga's legendary line of rubber-soled footwear has been a staple on city streets and sandy beaches since 1925. We love their everyday appeal - especially with this high-top sneaker twist.","['Footwear', 'Sneakers', 'High-Top Shoes']"
Coastal Vista 580G Polarized Sunglasses,"The finest fishing sunglasses you'll find, with lenses that boost contrast and cut glare so you can see structure and fish below the surface. Blue Mirror lenses are designed for open water fishing. Green Mirror lenses are best for inshore fishing. ","['Sunglasses', 'Fishing Accessories', 'Outdoor Gear']"
"s","This Kids’ CamelBak Water Bottle is perfect for teaching young ones the important lesson of staying hydrated when adventuring outdoors. ","[""Kids' Accessories"", 'Outdoor Gear', 'Hydration']"
Little SunShiners' Fun Hat,"Finally, a sun hat kids will wear happily – that stays put through all-day play, even on windy days. Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays.","['Clothing', 'Hats', ""Kids' Accessories""]"
Rain Shield Outdoor Blanket,"Don't let a little wet grass ruin your picnic or breakfast at the campsite. This versatile waterproof blanket has a rugged polyurethane-coated nylon backing that keeps moisture from seeping through to the supersoft fleece surface. ","['Outdoor Gear', 'Camping Accessories', 'Blankets']"
"Women's Featherweight Waterproof Hiking Boots, Mid","A revolution in lightweight warmth, these boots have the insulating power you need for winter's worst – at about half the weight of most pac boots. Featuring Primaloft Aerogel in the upper and Aerofoam in the footbed to block out the cold.","['Footwear', 'Hiking Boots', ""Women's Outdoor Clothing""]"
Cross-Sheath Knife Holster,"A revolution in lightweight warmth, these boots have the insulating power you need for winter's worst – at about half the weight of most pac boots. Featuring Primaloft Aerogel in the upper and Aerofoam in the footbed to block out the cold.","['Outdoor Accessories', 'Hiking Gear', 'Knife Holsters']"
Fisherman's Tackle Bag,"This fishing waist pack was designed with the angler in mind. It has the capacity and organization to carry all your gear while keeping your hands free. ","['Fishing Accessories', 'Outdoor Gear', 'Waist Packs']"
"Women's Rangeley Performance Flannel Shirt, Striped","This fishing waist pack was designed with the angler in mind. It has the capacity and organization to carry all your gear while keeping your hands free. ","['Clothing', 'Shirts', ""Women's Clothing""]"
Suggestion: Pencil Holder,"This fishing waist pack was designed with the angler in mind. It has the capacity and organization to carry all your gear while keeping your hands free. ","['Fishing Accessories', 'Outdoor Gear', 'Waist Packs']"
"Men's Two-Layer River Driver's Classic Crewneck Shirt, Traditional Fit","Our classic river driver's shirt has been an  exclusive for three decades and counting. This innovative duofold construction effectively traps and holds warmth, keeping cold and wet out and warmth in. Exclusively knit for us in Nova Scotia, our legendary two-layer Henley features a thermal construction that traps air between the layers to retain warmth and helps layers hold shape. The outer layer is a 50% cotton/40% merino wool/10% nylon blend and the inside layer is made of soft, absorbent cotton. Woven just for us in Canada by Stanfield’s, a 160-year-old family company, this durable, quick drying shirt is sure to keep you warm and comfortable. As a duofold construction (the cotton and wool are knitted together), it will shrink in the dryer. Additional features include rib-knit cuffs with Lycra® elastane. ","['Clothing', 'Shirts', ""Men's Clothing""]"
Summer Breeze Sleeveless Dress,"Our classic river driver's shirt has been an  exclusive for three decades and counting. This innovative duofold construction effectively traps and holds warmth, keeping cold and wet out and warmth in. Exclusively knit for us in Nova Scotia, our legendary two-layer Henley features a thermal construction that traps air between the layers to retain warmth and helps layers hold shape. The outer layer is a 50% cotton/40% merino wool/10% nylon blend and the inside layer is made of soft, absorbent cotton. Woven just for us in Canada by Stanfield’s, a 160-year-old family company, this durable, quick drying shirt is sure to keep you warm and comfortable. As a duofold construction (the cotton and wool are knitted together), it will shrink in the dryer. Additional features include rib-knit cuffs with Lycra® elastane. ","['Clothing', 'Dresses', 'Summer Wear']"
"Regal Flies, Duo Pack","Our classic river driver's shirt has been an  exclusive for three decades and counting. This innovative duofold construction effectively traps and holds warmth, keeping cold and wet out and warmth in. Exclusively knit for us in Nova Scotia, our legendary two-layer Henley features a thermal construction that traps air between the layers to retain warmth and helps layers hold shape. The outer layer is a 50% cotton/40% merino wool/10% nylon blend and the inside layer is made of soft, absorbent cotton. Woven just for us in Canada by Stanfield’s, a 160-year-old family company, this durable, quick drying shirt is sure to keep you warm and comfortable. As a duofold construction (the cotton and wool are knitted together), it will shrink in the dryer. Additional features include rib-knit cuffs with Lycra® elastane. ","['Clothing', 'Shirts', 'Outdoor Apparel']"
Children's All-Weather Snow Pants,"Our classic river driver's shirt has been an  exclusive for three decades and counting. This innovative duofold construction effectively traps and holds warmth, keeping cold and wet out and warmth in. Exclusively knit for us in Nova Scotia, our legendary two-layer Henley features a thermal construction that traps air between the layers to retain warmth and helps layers hold shape. The outer layer is a 50% cotton/40% merino wool/10% nylon blend and the inside layer is made of soft, absorbent cotton. Woven just for us in Canada by Stanfield’s, a 160-year-old family company, this durable, quick drying shirt is sure to keep you warm and comfortable. As a duofold construction (the cotton and wool are knitted together), it will shrink in the dryer. Additional features include rib-knit cuffs with Lycra® elastane. ","['Clothing', ""Children's Clothing"", 'Snow Pants']"
Ultimate Hunter's Jacket,"This warm yet lightweight men’s Ultimate Big-Game Liner Jacket can be worn by itself, zipped into our Big Game System or Gore-Tex® Soft-Shell, or compacted and taken along just in case you need it on cool- to cold-weather hunts.","['Clothing', 'Jackets', 'Hunting Gear']"
Men's Craft Intrepid 2.0 Windproof Thermal Top,"Craft's high-visibility thermal wind top is perfect for cold-weather running and cross-country skiing. It blocks the wind and provides just enough warmth on cold days. ","['Clothing', 'Outdoor Apparel', 'Thermal Tops']"
Women's  Northport Polarized Sunglasses,"These women's Camden Polarized  Sunglasses are an excellent choice for all outdoor adventures, fully polarized to keep your eyes feeling fresh during long days outside. ","['Sunglasses', ""Women's Accessories"", 'Outdoor Gear']"
Women's Merrell Chameleon 7 Low Waterproof Hiking Boots,"These ultralight trail hikers feature waterproof protection, excellent stability and exceptional comfort. They're a great choice if you want to hike fast and light while retaining cushioning, protection and stability.","['Footwear', 'Hiking Boots', ""Women's Outdoor Clothing""]"
Mountain Haven Hoodie,"These ultralight trail hikers feature waterproof protection, excellent stability and exceptional comfort. They're a great choice if you want to hike fast and light while retaining cushioning, protection and stability.","['Clothing', 'Hoodies', 'Outdoor Gear']"
Sunbrella Aluminum Striped Patio Umbrella,"Our sturdy aluminum patio umbrella is built to withstand years of sun, wind, and mildew. It features a machine-washable Sunbrella canopy and two-piece frame construction for easy off-season storage. ","['Outdoor Furniture', 'Patio Umbrellas', 'Garden Accessories']"
"Kids' Snow Shield Ski Jacket, Colorblock","Our fully loaded ski jacket is an essential for the slopes that is both warm and waterproof. It features a stretch fabric design in a sporty colorblock that moves with kids all day long. ","['Clothing', 'Outerwear', 'Ski Jackets']"
Serene Sea Cotton Cardigan,"We wanted to create a classic cable-knit sweater that could be worn in any season. So we designed ours with premium cotton yarns to make it as comfortable as it is versatile. ","['Clothing', 'Sweaters', 'Cardigans']"
"Men's Maine Hunting Boots, 16""","Our original  Boots are made of extra 6 inches of premium leather that make it perfect for handling any weather. It was first introduced in 1912 and each pair is still handcrafted with care in Maine. ","['Footwear', 'Hunting Gear', 'Outdoor Clothing']"
"Explorer 4-Person Tent, Footprint","Extend the life of your tent, and protect it from moisture and abrasion with our easy-to-use Adventure Dome 4-Person Tent Footprint. ","['Camping Gear', 'Tents', 'Tent Accessories']"
Trailblazer Comfort-Inflating MultiSport Seat,"Extend the life of your tent, and protect it from moisture and abrasion with our easy-to-use Adventure Dome 4-Person Tent Footprint. ","['Outdoor Equipment', 'Camping Gear', 'Tent Accessories']"
CloudCove Hammock,"The ENO SkyLoft Hammock features an open and airy design that toggles between relaxation and sleeping modes. Perfect for use during summer backpacking trips or for lounging in the backyard or campsite.","['Hammocks', 'Outdoor Gear', 'Camping Accessories']"
Women's Vasque Talus Trek All-Terrain Waterproof Hiking Boots,"The ENO SkyLoft Hammock features an open and airy design that toggles between relaxation and sleeping modes. Perfect for use during summer backpacking trips or for lounging in the backyard or campsite.","['Footwear', 'Hiking Boots', ""Women's Outdoor Clothing""]"
